order_id,order_date,region,segment,category,product,units,unit_price,discount,revenue,cost,profit
10038,2024-01-02,North,Corporate,Office Supplies,Paper,1,5.64,0.014,5.56,4.37,1.19
10039,2024-01-02,North,Small Business,Technology,Headphones,2,87.61,0.0,175.23,124.59,50.63
10040,2024-01-02,South,Corporate,Office Supplies,Stapler,1,7.02,0.024,6.86,5.47,1.38
10041,2024-01-02,South,Home Office,Office Supplies,Calendar,1,9.52,0.036,9.18,6.37,2.8
10042,2024-01-02,West,Corporate,Office Supplies,Binder,2,6.7,0.026,13.05,10.13,2.92
10043,2024-01-02,East,Small Business,Office Supplies,Pen,1,1.8,0.025,1.75,1.4,0.35
10044,2024-01-02,West,Small Business,Technology,Mouse,1,17.03,0.006,16.93,10.77,6.17
10045,2024-01-02,South,Consumer,Furniture,Chair,4,125.47,0.029,487.09,323.64,163.45
10046,2024-01-02,South,Corporate,Technology,Laptop,1,852.86,0.036,822.38,639.04,183.33
10047,2024-01-02,North,Corporate,Technology,Laptop,2,942.56,0.028,1831.85,1345.33,486.51
10048,2024-01-02,East,Consumer,Office Supplies,Binder,1,5.58,0.005,5.55,3.62,1.93
10049,2024-01-02,East,Small Business,Technology,Headphones,1,89.41,0.027,87.01,64.93,22.08
10050,2024-01-02,South,Small Business,Technology,Monitor,1,204.61,0.049,194.57,142.92,51.65
10051,2024-01-02,West,Corporate,Technology,Laptop,2,840.81,0.003,1676.81,1017.15,659.66
10052,2024-01-02,West,Home Office,Furniture,Table,1,283.03,0.03,274.64,223.82,50.82
10053,2024-01-02,West,Consumer,Office Supplies,Paper,1,4.27,0.034,4.13,3.36,0.77
10054,2024-01-02,North,Small Business,Office Supplies,Pen,1,2.28,0.019,2.24,1.76,0.48
10055,2024-01-02,North,Corporate,Technology,Mouse,1,22.11,0.0,22.11,14.67,7.44
10056,2024-01-02,West,Corporate,Furniture,Desk,1,339.25,0.0,339.25,250.78,88.48
10057,2024-01-03,East,Small Business,Technology,Laptop,1,1001.89,0.0,1001.89,749.57,252.32
10058,2024-01-03,West,Consumer,Technology,Headphones,2,76.63,0.041,146.96,100.95,46.01
10059,2024-01-03,North,Consumer,Technology,Mouse,2,22.2,0.03,43.06,34.75,8.31
10060,2024-01-03,West,Small Business,Furniture,Desk,2,326.85,0.097,590.25,477.19,113.06
10061,2024-01-03,West,Consumer,Technology,Monitor,2,223.4,0.033,432.04,298.28,133.76
10062,2024-01-03,North,Small Business,Furniture,Table,1,255.87,0.015,251.97,155.36,96.6
10063,2024-01-03,East,Small Business,Office Supplies,Calendar,5,9.36,0.0,46.8,33.61,13.19
10064,2024-01-03,West,Corporate,Technology,Keyboard,1,26.64,0.042,25.53,18.77,6.76
10065,2024-01-03,South,Consumer,Office Supplies,Calendar,1,10.37,0.034,10.02,6.4,3.62
10066,2024-01-03,North,Home Office,Technology,Laptop,1,910.97,0.007,904.62,662.72,241.9
10067,2024-01-03,West,Corporate,Technology,Headphones,1,87.08,0.024,85.02,56.97,28.05
10068,2024-01-03,North,Corporate,Technology,Headphones,1,68.61,0.018,67.39,54.37,13.02
10069,2024-01-03,North,Corporate,Furniture,Chair,2,116.72,0.037,224.73,148.16,76.58
10070,2024-01-03,South,Consumer,Office Supplies,Paper,1,5.07,0.007,5.04,3.77,1.27
10071,2024-01-03,West,Home Office,Furniture,Desk,1,340.94,0.038,327.86,254.88,72.98
10072,2024-01-03,East,Corporate,Furniture,Table,5,243.97,0.041,1170.26,792.35,377.92
10073,2024-01-03,South,Home Office,Furniture,Bookcase,3,128.15,0.006,382.2,239.59,142.6
10074,2024-01-03,North,Consumer,Furniture,Cabinet,1,198.45,0.035,191.41,122.95,68.45
10075,2024-01-03,North,Consumer,Office Supplies,Binder,1,5.41,0.0,5.41,3.72,1.7
10076,2024-01-03,East,Corporate,Furniture,Chair,3,124.86,0.0,374.59,228.15,146.44
10077,2024-01-03,South,Home Office,Furniture,Desk,3,300.28,0.0,900.85,694.82,206.03
10078,2024-01-03,West,Home Office,Office Supplies,Calendar,1,8.71,0.029,8.46,6.35,2.11
10079,2024-01-03,North,Home Office,Office Supplies,Paper,1,5.66,0.012,5.59,4.05,1.54
10080,2024-01-03,South,Home Office,Technology,Laptop,3,888.73,0.0,2666.18,1890.65,775.53
10081,2024-01-03,South,Home Office,Furniture,Cabinet,1,227.67,0.032,220.44,177.83,42.61
10082,2024-01-03,South,Home Office,Technology,Keyboard,1,26.14,0.008,25.94,17.35,8.59
10083,2024-01-03,West,Home Office,Technology,Laptop,1,796.9,0.037,767.43,589.19,178.24
10084,2024-01-03,West,Home Office,Technology,Laptop,2,963.47,0.026,1876.56,1465.81,410.74
10085,2024-01-03,East,Corporate,Office Supplies,Pen,1,2.15,0.009,2.13,1.64,0.49
10086,2024-01-03,South,Small Business,Office Supplies,Stapler,1,7.69,0.022,7.52,5.81,1.71
10087,2024-01-03,North,Consumer,Technology,Mouse,2,22.15,0.016,43.59,30.38,13.21
10088,2024-01-04,North,Home Office,Office Supplies,Calendar,3,9.46,0.02,27.8,22.11,5.69
10089,2024-01-04,South,Small Business,Technology,Laptop,1,1021.66,0.017,1003.89,730.17,273.72
10090,2024-01-04,East,Home Office,Technology,Keyboard,1,28.14,0.062,26.4,18.73,7.67
10091,2024-01-04,South,Corporate,Office Supplies,Paper,2,5.44,0.036,10.49,8.24,2.24
10092,2024-01-04,East,Small Business,Office Supplies,Binder,1,5.2,0.002,5.19,3.69,1.5
10093,2024-01-04,South,Corporate,Technology,Monitor,2,191.05,0.017,375.59,238.21,137.38
10094,2024-01-04,North,Corporate,Office Supplies,Pen,1,2.07,0.009,2.05,1.28,0.77
10095,2024-01-04,West,Corporate,Furniture,Desk,1,261.55,0.01,258.97,199.92,59.05
10096,2024-01-04,North,Small Business,Technology,Monitor,1,175.09,0.025,170.78,139.6,31.17
10097,2024-01-04,South,Corporate,Furniture,Bookcase,1,164.08,0.0,164.08,129.53,34.55
10098,2024-01-04,East,Corporate,Technology,Laptop,1,974.83,0.016,959.49,693.77,265.73
10099,2024-01-04,South,Small Business,Furniture,Bookcase,2,132.5,0.017,260.56,185.11,75.44
10100,2024-01-04,North,Home Office,Furniture,Cabinet,1,173.38,0.014,170.91,108.15,62.76
10101,2024-01-04,West,Home Office,Technology,Laptop,1,966.43,0.003,963.09,692.62,270.48
10102,2024-01-04,East,Corporate,Office Supplies,Pen,1,1.87,0.028,1.82,1.45,0.37
10103,2024-01-04,North,Consumer,Office Supplies,Stapler,1,6.98,0.02,6.84,4.96,1.88
10104,2024-01-04,East,Home Office,Furniture,Cabinet,1,207.76,0.03,201.54,153.57,47.97
10105,2024-01-04,North,Small Business,Office Supplies,Binder,5,6.15,0.005,30.62,24.0,6.62
10106,2024-01-04,East,Consumer,Office Supplies,Stapler,5,7.47,0.004,37.19,23.8,13.38
10107,2024-01-04,North,Corporate,Furniture,Table,1,256.27,0.009,253.84,157.75,96.09
10108,2024-01-04,North,Home Office,Office Supplies,Pen,1,1.89,0.058,1.78,1.44,0.34
10109,2024-01-04,North,Home Office,Office Supplies,Pen,1,2.25,0.03,2.18,1.72,0.46
10110,2024-01-04,West,Home Office,Furniture,Bookcase,1,169.47,0.057,159.88,131.04,28.84
10111,2024-01-04,South,Corporate,Furniture,Table,3,286.55,0.011,850.51,541.64,308.87
10112,2024-01-04,South,Home Office,Furniture,Cabinet,1,228.19,0.047,217.45,175.35,42.1
10113,2024-01-04,North,Home Office,Furniture,Desk,1,292.33,0.045,279.25,191.39,87.86
10114,2024-01-04,West,Home Office,Furniture,Table,1,270.17,0.021,264.52,213.15,51.36
10115,2024-01-04,West,Corporate,Office Supplies,Stapler,1,7.88,0.032,7.63,4.93,2.69
10116,2024-01-04,South,Consumer,Furniture,Cabinet,1,183.72,0.03,178.15,134.91,43.24
10117,2024-01-04,East,Consumer,Technology,Keyboard,1,26.52,0.046,25.31,19.48,5.84
10118,2024-01-04,South,Corporate,Technology,Laptop,3,905.44,0.022,2655.72,2092.76,562.96
10119,2024-01-04,North,Corporate,Furniture,Cabinet,5,222.6,0.055,1051.66,757.61,294.05
10120,2024-01-04,North,Small Business,Furniture,Cabinet,2,212.24,0.047,404.38,272.77,131.61
10121,2024-01-04,South,Small Business,Furniture,Table,2,241.92,0.0,483.84,332.64,151.2
10122,2024-01-05,South,Corporate,Office Supplies,Paper,3,4.84,0.021,14.22,10.53,3.69
10123,2024-01-05,North,Small Business,Technology,Mouse,1,19.75,0.019,19.38,15.72,3.66
10124,2024-01-05,West,Consumer,Office Supplies,Binder,1,6.24,0.018,6.13,4.04,2.08
10125,2024-01-05,North,Small Business,Technology,Monitor,1,180.91,0.001,180.7,121.05,59.64
10126,2024-01-05,East,Small Business,Office Supplies,Calendar,1,10.5,0.039,10.09,6.66,3.43
10127,2024-01-05,West,Small Business,Technology,Monitor,1,180.62,0.004,179.87,111.58,68.3
10128,2024-01-05,West,Home Office,Technology,Keyboard,1,27.36,0.0,27.36,18.41,8.95
10129,2024-01-05,West,Corporate,Furniture,Table,4,215.45,0.021,843.95,654.86,189.09
10130,2024-01-05,North,Home Office,Technology,Keyboard,1,33.36,0.024,32.55,26.16,6.39
10131,2024-01-05,East,Home Office,Office Supplies,Paper,1,5.46,0.016,5.37,4.09,1.28
10132,2024-01-05,South,Corporate,Technology,Monitor,1,192.23,0.008,190.6,133.96,56.63
10133,2024-01-05,South,Corporate,Technology,Monitor,1,197.75,0.047,188.39,148.21,40.18
10134,2024-01-05,West,Home Office,Office Supplies,Stapler,2,8.03,0.026,15.63,11.34,4.29
10135,2024-01-05,West,Consumer,Technology,Monitor,1,201.96,0.001,201.78,130.97,70.81
10136,2024-01-05,West,Consumer,Office Supplies,Stapler,1,6.85,0.0,6.85,4.55,2.3
10137,2024-01-05,West,Consumer,Furniture,Bookcase,1,132.89,0.0,132.89,103.4,29.49
10138,2024-01-05,West,Small Business,Office Supplies,Calendar,4,10.87,0.038,41.83,30.42,11.42
10139,2024-01-05,South,Small Business,Technology,Keyboard,1,30.78,0.003,30.7,23.06,7.64
10140,2024-01-05,West,Small Business,Technology,Monitor,1,187.03,0.016,184.0,125.8,58.2
10141,2024-01-05,East,Small Business,Office Supplies,Binder,2,5.74,0.058,10.81,9.15,1.66
10142,2024-01-05,West,Corporate,Office Supplies,Calendar,1,8.81,0.031,8.53,5.55,2.98
10143,2024-01-05,North,Small Business,Office Supplies,Calendar,1,9.06,0.01,8.97,5.95,3.01
10144,2024-01-05,North,Consumer,Office Supplies,Stapler,1,7.78,0.003,7.76,6.2,1.56
10145,2024-01-05,South,Small Business,Technology,Laptop,1,1026.76,0.002,1024.86,793.79,231.07
10146,2024-01-05,East,Small Business,Furniture,Desk,1,270.38,0.035,260.89,198.39,62.5
10147,2024-01-05,West,Home Office,Furniture,Table,1,255.37,0.035,246.43,167.52,78.9
10148,2024-01-05,East,Small Business,Furniture,Chair,1,113.65,0.031,110.08,77.86,32.22
10149,2024-01-05,West,Consumer,Office Supplies,Calendar,1,8.84,0.021,8.66,6.39,2.27
10150,2024-01-05,North,Home Office,Technology,Laptop,2,806.68,0.0,1613.36,1123.26,490.09
10151,2024-01-05,North,Consumer,Technology,Mouse,1,19.02,0.021,18.62,11.92,6.7
10152,2024-01-05,North,Corporate,Technology,Mouse,2,18.53,0.008,36.74,27.28,9.46
10153,2024-01-05,West,Consumer,Office Supplies,Binder,2,5.95,0.049,11.32,8.12,3.2
10154,2024-01-05,West,Home Office,Furniture,Desk,2,329.76,0.016,649.0,523.0,126.0
10155,2024-01-05,North,Corporate,Furniture,Chair,1,135.78,0.008,134.7,86.39,48.32
10156,2024-01-05,North,Home Office,Office Supplies,Stapler,1,8.18,0.017,8.04,6.28,1.76
10157,2024-01-05,West,Corporate,Technology,Headphones,1,72.84,0.012,71.98,46.09,25.89
10158,2024-01-05,South,Consumer,Office Supplies,Pen,1,2.1,0.012,2.07,1.48,0.6
10159,2024-01-05,North,Consumer,Furniture,Cabinet,2,193.55,0.013,381.88,295.48,86.4
10160,2024-01-05,West,Home Office,Technology,Headphones,1,79.1,0.0,79.1,52.23,26.87
10161,2024-01-06,East,Consumer,Furniture,Table,1,241.29,0.016,237.52,171.01,66.52
10162,2024-01-06,North,Small Business,Furniture,Table,1,221.27,0.035,213.43,174.35,39.08
10163,2024-01-06,South,Small Business,Technology,Headphones,1,71.34,0.043,68.28,54.14,14.15
10164,2024-01-06,East,Small Business,Furniture,Table,2,279.54,0.065,522.51,423.63,98.88
10165,2024-01-06,East,Home Office,Technology,Laptop,1,832.09,0.003,829.59,623.06,206.53
10166,2024-01-06,East,Small Business,Technology,Monitor,1,215.75,0.01,213.49,167.28,46.21
10167,2024-01-06,West,Home Office,Technology,Monitor,2,176.64,0.01,349.81,271.77,78.04
10168,2024-01-06,East,Corporate,Furniture,Desk,1,326.76,0.0,326.62,205.85,120.77
10169,2024-01-06,East,Home Office,Furniture,Bookcase,2,159.9,0.002,319.31,232.89,86.42
10170,2024-01-06,East,Consumer,Office Supplies,Binder,1,5.55,0.058,5.23,3.72,1.52
10171,2024-01-06,North,Corporate,Office Supplies,Stapler,1,7.91,0.05,7.51,6.24,1.27
10172,2024-01-06,West,Corporate,Office Supplies,Stapler,1,8.01,0.0,8.01,5.79,2.23
10173,2024-01-06,West,Small Business,Technology,Laptop,1,953.1,0.035,920.2,747.7,172.5
10174,2024-01-06,East,Corporate,Furniture,Desk,1,306.87,0.029,297.84,221.36,76.48
10175,2024-01-06,East,Home Office,Furniture,Cabinet,3,226.06,0.01,671.56,532.45,139.1
10176,2024-01-07,East,Small Business,Office Supplies,Calendar,1,10.27,0.042,9.84,6.98,2.86
10177,2024-01-07,East,Home Office,Office Supplies,Stapler,1,8.73,0.011,8.63,5.24,3.38
10178,2024-01-07,East,Home Office,Furniture,Desk,1,303.37,0.0,303.37,237.83,65.54
10179,2024-01-07,North,Corporate,Furniture,Chair,1,128.55,0.0,128.55,88.76,39.79
10180,2024-01-07,South,Corporate,Technology,Monitor,1,178.45,0.0,178.45,113.37,65.09
10181,2024-01-07,East,Home Office,Technology,Mouse,1,22.49,0.019,22.06,15.12,6.94
10182,2024-01-07,East,Corporate,Furniture,Desk,4,256.18,0.043,981.13,750.82,230.32
10183,2024-01-07,East,Consumer,Office Supplies,Calendar,1,8.76,0.0,8.76,7.0,1.76
10184,2024-01-07,South,Home Office,Technology,Laptop,6,783.11,0.021,4599.13,3523.96,1075.16
10185,2024-01-07,East,Corporate,Office Supplies,Stapler,1,7.29,0.017,7.17,4.65,2.51
10186,2024-01-07,North,Consumer,Office Supplies,Pen,1,2.04,0.009,2.02,1.25,0.77
10187,2024-01-08,West,Small Business,Furniture,Bookcase,1,145.53,0.042,139.45,103.61,35.84
10188,2024-01-08,South,Consumer,Furniture,Table,1,277.13,0.013,273.65,218.72,54.93
10189,2024-01-08,North,Consumer,Furniture,Table,1,260.8,0.004,259.64,177.8,81.84
10190,2024-01-08,North,Consumer,Technology,Mouse,2,17.16,0.045,32.77,22.12,10.65
10191,2024-01-08,East,Consumer,Technology,Laptop,2,770.32,0.0,1540.64,956.47,584.18
10192,2024-01-08,West,Corporate,Office Supplies,Stapler,1,8.37,0.03,8.12,5.42,2.7
10193,2024-01-08,West,Small Business,Furniture,Cabinet,1,213.34,0.013,210.67,164.51,46.16
10194,2024-01-08,West,Home Office,Office Supplies,Calendar,1,10.5,0.043,10.05,6.73,3.32
10195,2024-01-08,North,Consumer,Technology,Mouse,2,17.08,0.014,33.68,21.08,12.61
10196,2024-01-08,East,Consumer,Technology,Mouse,1,19.53,0.0,19.53,15.2,4.32
10197,2024-01-08,South,Consumer,Technology,Laptop,1,835.04,0.041,800.82,564.44,236.39
10198,2024-01-08,West,Small Business,Office Supplies,Calendar,1,10.37,0.032,10.04,7.07,2.97
10199,2024-01-08,West,Home Office,Technology,Mouse,1,18.77,0.054,17.75,14.82,2.93
10200,2024-01-08,East,Home Office,Office Supplies,Stapler,1,8.88,0.028,8.64,6.2,2.44
10201,2024-01-08,North,Corporate,Furniture,Cabinet,1,195.51,0.023,191.01,118.19,72.83
10202,2024-01-08,South,Small Business,Technology,Headphones,1,83.2,0.0,83.2,54.21,28.99
10203,2024-01-08,South,Corporate,Furniture,Desk,1,343.6,0.016,337.99,242.28,95.71
10204,2024-01-08,North,Consumer,Technology,Keyboard,1,25.67,0.004,25.55,20.09,5.46
10205,2024-01-08,East,Small Business,Technology,Monitor,1,186.44,0.0,186.36,132.53,53.83
10206,2024-01-08,East,Small Business,Furniture,Cabinet,2,182.39,0.029,354.03,219.66,134.36
10207,2024-01-08,West,Small Business,Technology,Headphones,1,82.41,0.04,79.14,60.41,18.74
10208,2024-01-08,North,Small Business,Office Supplies,Pen,1,2.01,0.0,2.01,1.23,0.79
10209,2024-01-08,East,Consumer,Technology,Mouse,2,17.5,0.005,34.8,25.22,9.58
10210,2024-01-08,North,Home Office,Office Supplies,Paper,1,4.68,0.0,4.68,3.14,1.54
10211,2024-01-08,South,Small Business,Office Supplies,Stapler,1,8.16,0.041,7.82,5.67,2.15
10212,2024-01-08,East,Corporate,Office Supplies,Stapler,2,8.56,0.024,16.71,11.01,5.71
10213,2024-01-08,West,Consumer,Furniture,Bookcase,1,149.84,0.022,146.47,107.79,38.69
10214,2024-01-08,West,Home Office,Furniture,Chair,2,105.84,0.006,210.42,130.19,80.23
10215,2024-01-08,South,Home Office,Furniture,Table,1,264.13,0.055,249.49,181.45,68.04
10216,2024-01-08,East,Small Business,Office Supplies,Paper,2,5.45,0.009,10.8,8.05,2.75
10217,2024-01-08,West,Consumer,Furniture,Bookcase,2,143.74,0.0,287.49,177.76,109.73
10218,2024-01-08,East,Consumer,Furniture,Cabinet,1,181.11,0.032,175.24,128.29,46.94
10219,2024-01-08,North,Small Business,Furniture,Chair,1,131.04,0.032,126.82,95.89,30.93
10220,2024-01-08,South,Home Office,Office Supplies,Stapler,2,7.4,0.029,14.37,10.33,4.04
10221,2024-01-08,West,Consumer,Technology,Keyboard,1,27.13,0.024,26.47,19.36,7.11
10222,2024-01-09,South,Home Office,Furniture,Table,1,281.83,0.041,270.26,223.83,46.42
10223,2024-01-09,North,Consumer,Office Supplies,Calendar,1,11.09,0.034,10.71,8.52,2.19
10224,2024-01-09,South,Corporate,Furniture,Cabinet,2,172.22,0.01,341.11,247.74,93.37
10225,2024-01-09,North,Small Business,Technology,Mouse,1,17.46,0.014,17.22,12.91,4.31
10226,2024-01-09,North,Small Business,Technology,Mouse,3,17.39,0.002,52.07,34.6,17.47
10227,2024-01-09,West,Home Office,Office Supplies,Pen,3,1.89,0.024,5.54,4.11,1.42
10228,2024-01-09,West,Small Business,Furniture,Desk,1,275.97,0.038,265.54,166.93,98.61
10229,2024-01-09,West,Corporate,Furniture,Desk,1,339.52,0.041,325.49,257.95,67.54
10230,2024-01-09,South,Consumer,Furniture,Table,1,248.49,0.048,236.52,180.28,56.24
10231,2024-01-09,East,Home Office,Technology,Keyboard,1,29.29,0.049,27.85,21.9,5.96
10232,2024-01-09,East,Small Business,Technology,Monitor,1,191.28,0.014,188.53,125.75,62.77
10233,2024-01-09,West,Home Office,Furniture,Cabinet,1,172.53,0.005,171.72,104.13,67.59
10234,2024-01-09,West,Small Business,Furniture,Desk,1,289.59,0.025,282.44,213.12,69.32
10235,2024-01-09,South,Small Business,Technology,Monitor,2,226.68,0.016,446.24,314.4,131.84
10236,2024-01-09,North,Home Office,Office Supplies,Stapler,1,9.18,0.028,8.93,5.93,2.99
10237,2024-01-09,West,Small Business,Office Supplies,Binder,1,6.19,0.03,6.01,4.35,1.66
10238,2024-01-09,West,Consumer,Technology,Headphones,1,73.29,0.009,72.6,46.71,25.9
10239,2024-01-09,East,Consumer,Furniture,Chair,1,104.08,0.044,99.53,82.62,16.9
10240,2024-01-09,West,Consumer,Office Supplies,Binder,3,6.35,0.009,18.89,12.02,6.87
10241,2024-01-09,West,Corporate,Technology,Monitor,1,183.43,0.033,177.44,129.76,47.68
10242,2024-01-09,East,Home Office,Office Supplies,Stapler,3,7.02,0.056,19.88,16.33,3.55
10243,2024-01-09,North,Home Office,Office Supplies,Calendar,1,11.17,0.012,11.03,8.83,2.2
10244,2024-01-09,West,Home Office,Office Supplies,Stapler,1,8.37,0.027,8.15,5.95,2.2
10245,2024-01-09,North,Consumer,Technology,Keyboard,1,28.85,0.004,28.74,18.81,9.93
10246,2024-01-09,South,Consumer,Furniture,Chair,1,104.92,0.056,99.05,67.57,31.48
10247,2024-01-09,North,Small Business,Technology,Keyboard,1,33.16,0.024,32.35,23.18,9.17
10248,2024-01-09,North,Consumer,Furniture,Chair,6,131.69,0.009,782.72,529.04,253.68
10249,2024-01-09,East,Home Office,Furniture,Table,2,232.53,0.057,438.58,360.75,77.82
10250,2024-01-09,South,Corporate,Office Supplies,Stapler,2,8.84,0.042,16.94,13.68,3.26
10251,2024-01-09,South,Corporate,Technology,Laptop,2,953.32,0.03,1849.16,1403.34,445.82
10252,2024-01-09,West,Corporate,Furniture,Cabinet,3,179.52,0.033,520.79,418.01,102.78
10253,2024-01-09,South,Corporate,Furniture,Bookcase,1,142.58,0.023,139.31,106.75,32.56
10254,2024-01-09,West,Home Office,Office Supplies,Paper,1,5.5,0.012,5.43,3.86,1.57
10255,2024-01-09,West,Home Office,Office Supplies,Calendar,1,10.4,0.021,10.18,6.78,3.4
10256,2024-01-09,South,Consumer,Furniture,Bookcase,2,162.59,0.063,304.61,202.07,102.54
10257,2024-01-09,East,Small Business,Office Supplies,Pen,1,2.28,0.052,2.16,1.52,0.64
10258,2024-01-09,West,Home Office,Technology,Monitor,2,176.15,0.024,343.94,277.42,66.52
10259,2024-01-09,West,Consumer,Technology,Monitor,1,188.06,0.024,183.57,139.47,44.1
10260,2024-01-09,East,Home Office,Office Supplies,Pen,1,1.91,0.006,1.9,1.38,0.51
10261,2024-01-10,North,Small Business,Furniture,Chair,3,126.6,0.019,372.7,261.75,110.95
10262,2024-01-10,North,Small Business,Furniture,Desk,1,269.73,0.0,269.73,204.71,65.01
10263,2024-01-10,East,Corporate,Office Supplies,Binder,1,5.25,0.034,5.07,3.86,1.21
10264,2024-01-10,East,Corporate,Office Supplies,Paper,1,5.68,0.037,5.46,3.58,1.89
10265,2024-01-10,North,Home Office,Furniture,Chair,2,117.11,0.018,230.0,170.44,59.56
10266,2024-01-10,East,Corporate,Technology,Keyboard,1,34.36,0.006,34.14,23.43,10.72
10267,2024-01-10,East,Small Business,Technology,Mouse,1,18.28,0.027,17.78,11.08,6.7
10268,2024-01-10,South,Home Office,Office Supplies,Calendar,1,11.09,0.049,10.55,7.71,2.85
10269,2024-01-10,East,Corporate,Furniture,Table,1,270.32,0.029,262.44,207.86,54.58
10270,2024-01-10,East,Home Office,Technology,Monitor,2,177.87,0.047,339.18,215.76,123.41
10271,2024-01-10,North,Corporate,Technology,Monitor,1,217.79,0.034,210.35,151.65,58.7
10272,2024-01-10,East,Consumer,Furniture,Chair,1,109.22,0.056,103.1,76.27,26.83
10273,2024-01-10,East,Consumer,Furniture,Bookcase,1,139.6,0.006,138.71,106.03,32.68
10274,2024-01-10,East,Small Business,Office Supplies,Pen,1,1.71,0.0,1.71,1.05,0.66
10275,2024-01-10,North,Corporate,Furniture,Chair,1,123.6,0.0,123.6,81.37,42.23
10276,2024-01-10,East,Corporate,Office Supplies,Paper,2,5.42,0.029,10.53,6.59,3.94
10277,2024-01-10,West,Home Office,Office Supplies,Stapler,1,7.38,0.019,7.24,5.89,1.36
10278,2024-01-10,North,Corporate,Technology,Laptop,1,931.9,0.0,931.9,690.07,241.84
10279,2024-01-10,East,Small Business,Technology,Laptop,1,853.14,0.021,835.62,600.22,235.4
10280,2024-01-10,South,Corporate,Furniture,Table,1,214.99,0.006,213.62,132.37,81.25
10281,2024-01-10,East,Small Business,Office Supplies,Binder,1,6.12,0.014,6.03,4.52,1.52
10282,2024-01-10,West,Consumer,Furniture,Cabinet,1,180.05,0.031,174.39,111.79,62.59
